source_lat,source_lon,dest_lat,dest_lon,distance_km,route_type,traffic_level,congestion_index,weather,hour,day_of_week,is_peak_hour,vehicle_type,load_weight,time_delay,delay_prob,risk_level
28.710715,77.199499,28.653519,77.453173,28.59,city,High,0.776,Storm,1,Saturday,0,Bike,99,47.19,0.872,High
28.612778,77.221677,28.596669,77.368935,20.5,highway,Medium,0.593,Clear,15,Wednesday,0,Bike,68,9.58,0.1707,Low
28.557715,77.332139,28.853422,77.203324,40.0,highway,High,0.955,Storm,19,Sunday,1,Van,578,38.31,0.8265,High
28.680797,77.438545,28.641705,77.385856,7.86,highway,High,0.701,Clear,9,Wednesday,1,Van,621,20.95,0.3822,Medium
28.765111,77.141037,28.596137,77.034648,29.04,highway,Medium,0.481,Clear,14,Sunday,0,Bike,70,10.59,0.168,Low
28.635102,77.238787,28.821644,77.223351,24.51,city,Medium,0.476,Clear,14,Thursday,0,Bike,147,15.53,0.3129,Medium
28.774095,77.098821,28.621936,77.216094,22.19,highway,High,0.897,Clear,15,Monday,0,Van,871,23.56,0.4981,Medium
28.743338,77.195816,28.653705,77.140842,15.6,mixed,Low,0.128,Storm,8,Tuesday,1,Van,810,20.32,0.3715,Medium
28.433151,77.334262,28.624633,77.384009,31.62,mixed,High,0.711,Storm,9,Tuesday,1,Bike,120,45.51,0.8518,High
28.640133,77.064047,28.814872,77.20501,28.22,mixed,Medium,0.452,Clear,5,Saturday,0,Van,504,11.07,0.1593,Low
28.707843,77.079314,28.443969,77.002275,40.0,city,Medium,0.43,Rain,17,Thursday,1,Bike,147,35.56,0.7175,High
28.417454,77.31833,28.668278,77.257453,40.0,city,Low,0.158,Clear,1,Wednesday,0,Bike,133,12.13,0.1846,Low
28.693837,77.41912,28.690653,77.07412,40.0,mixed,Medium,0.645,Clear,14,Friday,0,Van,992,14.72,0.2725,Low
28.652052,77.229632,28.5746,77.34222,15.43,city,Low,0.254,Clear,1,Wednesday,0,Truck,1449,6.57,0.1306,Low
28.367042,77.299858,28.50173,77.174772,24.33,city,Medium,0.472,Clear,8,Wednesday,1,Van,893,20.17,0.3573,Medium
28.658287,77.253388,28.686624,77.460186,29.22,city,Low,0.245,Rain,4,Tuesday,0,Van,601,17.6,0.349,Medium
28.45451,77.051045,28.608939,77.361979,40.0,city,Medium,0.536,Clear,16,Thursday,0,Van,835,18.41,0.3028,Medium
28.574343,77.298846,28.62407,77.506834,28.49,mixed,Medium,0.513,Clear,1,Friday,0,Truck,1687,11.93,0.1742,Low
28.763776,77.092612,28.722102,77.193184,11.95,highway,High,0.755,Storm,21,Friday,1,Bike,89,34.28,0.6987,Medium
28.577588,77.299298,28.404514,77.298447,25.69,mixed,Medium,0.587,Rain,14,Friday,0,Truck,1305,22.19,0.4617,Medium
28.729021,77.163062,28.544133,77.276391,32.38,city,High,0.935,Clear,10,Monday,1,Van,862,37.69,0.7483,High
28.693123,77.165139,28.633861,77.080708,12.66,city,High,0.926,Clear,7,Sunday,1,Truck,1234,30.6,0.6545,Medium
28.681403,77.447577,28.504335,77.162876,40.0,highway,High,0.986,Storm,18,Tuesday,1,Truck,1896,44.6,0.9024,High
28.407679,77.342429,28.674794,77.180153,40.0,city,Medium,0.637,Clear,15,Thursday,0,Bike,97,20.3,0.3903,Medium
28.612009,77.356668,28.57581,77.356309,5.0,mixed,High,0.866,Clear,14,Tuesday,0,Van,774,24.2,0.4892,Medium
28.467006,77.026343,28.625625,77.352196,38.34,city,High,0.731,Clear,7,Wednesday,1,Bike,55,33.21,0.675,Medium
28.661018,77.46958,28.533637,77.394161,23.49,city,Medium,0.502,Clear,19,Saturday,1,Bike,136,18.86,0.3896,Medium
28.841809,77.203403,28.659809,77.508168,40.0,mixed,Medium,0.441,Clear,19,Monday,1,Truck,1588,28.91,0.5755,Medium
28.800984,77.310219,28.545525,77.37475,40.0,city,Low,0.368,Storm,23,Monday,0,Truck,1744,31.71,0.6415,Medium
28.528531,77.265347,28.784449,77.311869,36.02,city,Medium,0.697,Rain,12,Thursday,0,Truck,1416,35.05,0.7376,High
28.72883,77.137414,28.635936,77.387408,37.8,mixed,Medium,0.549,Storm,8,Saturday,1,Van,728,40.74,0.8485,High
28.651161,77.182655,28.854346,77.225689,30.02,city,Medium,0.637,Clear,23,Friday,0,Van,581,18.86,0.339,Medium
28.561671,77.267761,28.756923,77.118803,38.83,highway,Medium,0.435,Clear,13,Friday,0,Bike,105,6.93,0.1622,Low
28.814484,77.185632,28.65643,77.061857,27.45,city,Medium,0.596,Rain,15,Tuesday,0,Van,784,22.76,0.4184,Medium
28.549054,77.251286,28.769756,77.117497,33.16,city,High,0.863,Clear,17,Thursday,1,Truck,1961,28.46,0.6194,Medium
28.654917,77.101223,28.640665,77.229092,16.57,city,Low,0.383,Clear,13,Tuesday,0,Truck,1288,8.53,0.1293,Low
28.729568,77.138645,28.860247,77.189003,17.07,highway,High,0.848,Rain,17,Friday,1,Truck,1011,37.39,0.8006,High
28.763281,77.102248,28.635137,77.47403,40.0,mixed,High,0.703,Clear,11,Monday,0,Van,858,24.61,0.4831,Medium
28.59144,77.212004,28.546653,77.386811,20.75,highway,Medium,0.625,Storm,13,Saturday,0,Van,710,23.71,0.4885,Medium
28.699673,77.067684,28.65241,77.238407,19.21,mixed,Medium,0.669,Rain,17,Wednesday,1,Van,634,17.97,0.344,Medium
28.786134,77.11011,28.696278,77.093326,15.0,city,Low,0.19,Clear,2,Friday,0,Van,680,6.01,0.167,Low
28.699838,77.052923,28.79329,77.122099,13.81,city,Low,0.363,Clear,0,Monday,0,Van,979,4.28,0.108,Low
28.645742,77.103796,28.692233,77.43867,40.0,highway,Low,0.262,Storm,9,Monday,1,Truck,1555,31.09,0.6443,Medium
28.641431,77.106403,28.834993,77.193961,27.91,highway,High,0.708,Clear,21,Tuesday,1,Van,749,32.36,0.7083,Medium
28.611958,77.0336,28.392154,77.311968,40.0,city,Medium,0.448,Clear,13,Wednesday,0,Truck,1498,27.26,0.5245,Medium
28.699581,77.029188,28.630892,77.356847,40.0,mixed,Medium,0.675,Storm,23,Thursday,0,Van,633,31.27,0.6455,Medium
28.693552,77.046202,28.534905,77.393916,40.0,mixed,Medium,0.516,Storm,14,Sunday,0,Bike,65,35.21,0.716,High
28.844158,77.223724,28.590857,77.039861,40.0,highway,Low,0.311,Clear,4,Saturday,0,Van,771,5.88,0.1059,Low
28.388268,77.324277,28.646517,77.093389,40.0,mixed,High,0.911,Storm,0,Saturday,0,Truck,1702,45.64,0.917,High
28.728913,77.182105,28.700779,77.125141,7.53,mixed,High,0.887,Clear,19,Tuesday,1,Van,601,33.52,0.6805,Medium
28.343943,77.345493,28.402082,77.31472,7.57,city,Low,0.184,Clear,18,Monday,1,Bike,109,13.51,0.2109,Low
28.780119,77.342143,28.451833,77.014722,40.0,mixed,Low,0.348,Rain,6,Thursday,0,Van,878,15.05,0.3087,Medium
28.680379,77.435828,28.546682,77.341706,21.14,city,High,0.955,Storm,19,Friday,1,Van,949,52.73,0.9596,High
28.479641,77.039259,28.858641,77.204094,40.0,mixed,High,0.773,Clear,7,Tuesday,1,Truck,1324,26.17,0.5306,Medium
28.707577,77.414464,28.446656,77.033043,40.0,city,Low,0.319,Rain,0,Monday,0,Truck,1819,26.43,0.5641,Medium
28.507068,77.172821,28.618791,77.359684,25.02,highway,Low,0.379,Clear,4,Monday,0,Bike,90,3.87,0.1218,Low
28.756507,77.33622,28.565836,77.324001,25.22,mixed,Low,0.34,Rain,8,Saturday,1,Van,843,20.64,0.3842,Medium
28.785452,77.136574,28.64451,77.373489,39.71,mixed,High,0.735,Storm,17,Wednesday,1,Van,770,53.82,0.9695,High
28.64345,77.101808,28.589857,77.051167,11.03,highway,Low,0.286,Clear,11,Monday,0,Van,563,2.0,0.0778,Low
28.642648,77.39114,28.482629,77.013164,40.0,mixed,Medium,0.483,Storm,14,Tuesday,0,Van,537,30.45,0.6378,Medium
28.70964,77.402748,28.714758,77.085371,38.57,highway,Low,0.135,Clear,3,Thursday,0,Bike,55,3.23,0.1332,Low
28.670947,77.231151,28.759111,77.296262,16.92,city,Medium,0.601,Clear,23,Monday,0,Truck,1699,12.24,0.2531,Low
28.65182,77.094827,28.637698,77.381461,36.78,mixed,High,0.975,Rain,12,Sunday,0,Truck,1407,37.94,0.76,High
28.461879,77.04863,28.727764,77.082431,35.43,city,Low,0.148,Rain,16,Tuesday,0,Truck,1427,24.3,0.4469,Medium
28.639015,77.362975,28.762083,77.130531,32.8,highway,Medium,0.651,Clear,14,Saturday,0,Van,510,10.79,0.1708,Low
28.688765,77.041178,28.707508,77.093732,7.06,city,Low,0.102,Rain,4,Friday,0,Truck,1570,7.79,0.1274,Low
28.666063,77.140515,28.662181,77.420761,35.03,highway,Low,0.239,Storm,1,Tuesday,0,Van,843,20.3,0.3761,Medium
28.545103,77.317566,28.680716,77.181142,24.64,city,High,0.703,Clear,17,Sunday,1,Van,843,37.85,0.7488,High
28.775661,77.139483,28.748433,77.130824,5.0,city,Low,0.311,Clear,23,Tuesday,0,Truck,1246,2.52,0.0589,Low
28.562504,77.312948,28.516162,77.249377,9.65,mixed,High,0.944,Clear,9,Friday,1,Truck,1670,38.22,0.8101,High
28.603518,77.383324,28.360266,77.33687,34.98,city,Low,0.344,Clear,6,Monday,0,Bike,120,12.61,0.2383,Low
28.559348,77.307631,28.718526,77.16049,30.49,city,Medium,0.501,Clear,14,Friday,0,Van,757,16.64,0.3016,Medium
28.689794,77.069957,28.522225,77.276379,40.0,highway,Low,0.35,Rain,3,Wednesday,0,Truck,1188,15.65,0.2826,Medium
28.858294,77.195009,28.600882,77.315874,40.0,mixed,Medium,0.432,Clear,23,Thursday,0,Truck,1913,19.23,0.3429,Medium
28.445277,77.032602,28.343129,77.333445,33.87,city,Medium,0.429,Clear,14,Sunday,0,Bike,64,21.2,0.4248,Medium
28.561242,77.250848,28.65894,77.49094,27.71,city,High,0.91,Clear,8,Friday,1,Van,912,39.79,0.7787,High
28.829571,77.21815,28.445668,77.038124,40.0,mixed,High,0.701,Clear,9,Friday,1,Truck,1596,37.78,0.7929,High
28.726253,77.121186,28.679836,77.158254,8.88,highway,Medium,0.548,Rain,19,Friday,1,Van,806,15.05,0.2653,Medium
28.66967,77.448513,28.517887,77.257941,29.49,highway,Low,0.271,Rain,14,Tuesday,0,Truck,1099,14.79,0.2251,Low
28.545736,77.206695,28.365763,77.315004,29.24,city,Medium,0.563,Clear,17,Wednesday,1,Truck,1718,34.6,0.7602,Medium
28.34866,77.313055,28.429155,77.30785,9.82,mixed,High,0.931,Storm,19,Saturday,1,Bike,72,45.95,0.8895,High
28.648725,77.471282,28.776207,77.339733,28.66,highway,Medium,0.502,Rain,7,Wednesday,1,Bike,146,22.71,0.4824,Medium
28.449136,77.017807,28.715725,77.184199,39.31,highway,Medium,0.649,Clear,22,Friday,0,Truck,1225,9.91,0.2159,Low
28.576761,77.324572,28.57615,77.326583,5.0,city,Low,0.394,Clear,22,Saturday,0,Bike,82,2.0,0.0933,Low
28.614458,77.058524,28.520485,77.380167,40.0,highway,Low,0.298,Clear,1,Friday,0,Truck,1988,6.6,0.1232,Low
28.519449,77.270508,28.788907,77.321823,40.0,city,Low,0.109,Clear,5,Thursday,0,Van,576,17.11,0.2923,Medium
28.399434,77.302976,28.579235,77.333018,26.31,city,High,0.709,Storm,10,Tuesday,1,Van,823,54.41,0.9488,High
28.596621,77.360406,28.734498,77.125019,35.82,highway,Medium,0.584,Clear,18,Thursday,1,Van,612,21.9,0.4333,Medium
28.465472,77.013258,28.668268,77.459629,40.0,highway,Medium,0.659,Clear,17,Monday,1,Bike,115,21.05,0.3684,Medium
28.689764,77.082624,28.594208,77.327225,38.21,city,Low,0.297,Clear,4,Saturday,0,Van,598,11.91,0.2327,Low
28.737544,77.12449,28.699406,77.042578,10.15,highway,Medium,0.623,Clear,16,Thursday,0,Van,675,7.16,0.1737,Low
28.703437,77.192314,28.67469,77.438448,34.6,city,High,0.873,Rain,8,Tuesday,1,Van,660,45.8,0.8856,High
28.657533,77.512961,28.780618,77.319171,27.37,city,High,0.84,Clear,19,Monday,1,Truck,1409,32.88,0.6549,Medium
28.6202,77.067019,28.386122,77.335915,40.0,highway,Medium,0.482,Clear,11,Friday,0,Bike,127,11.72,0.2295,Low
28.682323,77.180569,28.601214,77.209694,10.35,city,Low,0.354,Rain,5,Wednesday,0,Truck,1288,9.86,0.1842,Low
28.673291,77.461125,28.5893,77.025979,40.0,highway,High,0.828,Clear,20,Monday,1,Bike,55,24.54,0.4763,Medium
28.607316,77.201949,28.713654,77.186763,17.47,mixed,Medium,0.582,Clear,13,Thursday,0,Bike,77,10.15,0.1683,Low
